accessLevel,description,format,frequency,identifier,modified,title,webService,accessURL,created,feed,keyword,releaseDate,theme,distribution/0/accessURL,distribution/0/formats/0/label,distribution/0/formats/0/value,distribution/1/accessURL,distribution/1/formats/0/label,distribution/1/formats/0/value,distribution/2/accessURL,distribution/2/formats/0/label,distribution/2/formats/0/value,distribution/3/accessURL,distribution/3/formats/0/label,distribution/3/formats/0/value,distribution/4/accessURL,distribution/4/formats/0/label,distribution/4/formats/0/value,distribution/5/accessURL,distribution/5/formats/0/label,distribution/5/formats/0/value,keywords/0,keywords/1,keywords/2,keywords/3,keywords/4,keywords/5,keywords/6,keywords/7,keywords/8,keywords/9,keywords/10,keywords/11,keywords/12,keywords/13,keywords/14,keywords/15,keywords/16,keywords/17,keywords/18,keywords/19,keywords/20,keywords/21,keywords/22,keywords/23,keywords/24,keywords/25,keywords/26,keywords/27,keywords/28,keywords/29,keywords/30,keywords/31,keywords/32,keywords/33,keywords/34,keywords/35,keywords/36,keywords/37,keywords/38,keywords/39,keywords/40,keywords/41,keywords/42,keywords/43,keywords/44,keywords/45,keywords/46,keywords/47,keywords/48,keywords/49,keywords/50,keywords/51,keywords/52,keywords/53,keywords/54,keywords/55,keywords/56,keywords/57,keywords/58,keywords/59,keywords/60,keywords/61,keywords/62,keywords/63,keywords/64,keywords/65,keywords/66,keywords/67,keywords/68,keywords/69,keywords/70,keywords/71,keywords/72,keywords/73,keywords/74,keywords/75,keywords/76,keywords/77,keywords/78,keywords/79,keywords/80,keywords/81,keywords/82,keywords/83,keywords/84
Public,Latest available data and trends in the state assessment results of English Language Arts for grades 3 through 8. Data are disaggregated by school and ELL status.,text/csv,,thxi-frp3,2013-03-19,English Language Arts (ELA) Test Results 2006-2012 - School - ELL,https://data.cityofnewyork.us/resource/thxi-frp3,https://data.cityofnewyork.us/api/views/thxi-frp3/rows.csv?accessType=DOWNLOAD,2013-02-20,https://data.cityofnewyork.us/api/views/thxi-frp3/rows.rss,"english language arts,ela test,grade,school,lifelong learning",2013-02-20,Education,https://data.cityofnewyork.us/api/views/thxi-frp3/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/thxi-frp3/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/thxi-frp3/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/thxi-frp3/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/thxi-frp3/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/thxi-frp3/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,english language arts,ela test,grade,school,lifelong learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,Latest available data and trends in graduation and dropout outcomes disaggregated by borough.,text/csv,,di8r-g5w9,2013-03-19,Graduation Outcomes - Borough - Classes of 2005-2011 - Total Cohort,https://data.cityofnewyork.us/resource/di8r-g5w9,https://data.cityofnewyork.us/api/views/di8r-g5w9/rows.csv?accessType=DOWNLOAD,2013-02-20,https://data.cityofnewyork.us/api/views/di8r-g5w9/rows.rss,"graduation outcome,school,borough,total cohort,lifelong learning",2013-02-20,Education,https://data.cityofnewyork.us/api/views/di8r-g5w9/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/di8r-g5w9/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/di8r-g5w9/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/di8r-g5w9/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/di8r-g5w9/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/di8r-g5w9/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,graduation outcome,school,borough,total cohort,lifelong learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,Latest available data and trends in the state assessment results of math for grades 3 through 8. Data are disaggregated by gender.,text/csv,,2bh6-qmgg,2013-03-19,Math Test Results 2006-2012 - Citywide - Gender,https://data.cityofnewyork.us/resource/2bh6-qmgg,https://data.cityofnewyork.us/api/views/2bh6-qmgg/rows.csv?accessType=DOWNLOAD,2013-02-20,https://data.cityofnewyork.us/api/views/2bh6-qmgg/rows.rss,"math test result,grade,citywide,gender,lifelong learning",2013-02-20,Education,https://data.cityofnewyork.us/api/views/2bh6-qmgg/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/2bh6-qmgg/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/2bh6-qmgg/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/2bh6-qmgg/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/2bh6-qmgg/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/2bh6-qmgg/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,math test result,grade,citywide,gender,lifelong learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,"The Quality Review is a two- or three-day school visit by experienced educators to each New York City school. During the review, the external evaluator visits classrooms, talks with school leaders, and uses a rubric to evaluate how well the school is organized to support student achievement. This dataset includes all of the Quality Review scores from 2005-2011.",text/csv,,piri-jns7,2013-03-19,Quality Review 2005-2012,https://data.cityofnewyork.us/resource/piri-jns7,https://data.cityofnewyork.us/api/views/piri-jns7/rows.csv?accessType=DOWNLOAD,2013-02-20,https://data.cityofnewyork.us/api/views/piri-jns7/rows.rss,"quaility review score,school,lifelong learning",2013-02-20,Education,https://data.cityofnewyork.us/api/views/piri-jns7/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/piri-jns7/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/piri-jns7/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/piri-jns7/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/piri-jns7/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/piri-jns7/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,quaility review score,school,lifelong learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,Latest available data and trends in NYSED's Regents-based Aspirational Performance Measure (APM) by school and Ethnicity.,text/csv,,5fn2-n363,2013-03-19,Graduation Outcomes - School Level - Classes 2010-2011 - Regents-based Math/ELA APM - Ethnicity,https://data.cityofnewyork.us/resource/5fn2-n363,https://data.cityofnewyork.us/api/views/5fn2-n363/rows.csv?accessType=DOWNLOAD,2013-02-20,https://data.cityofnewyork.us/api/views/5fn2-n363/rows.rss,"graduation outcome,school,apm,ethnicity,lifelong learning",2013-02-20,Education,https://data.cityofnewyork.us/api/views/5fn2-n363/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/5fn2-n363/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/5fn2-n363/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/5fn2-n363/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/5fn2-n363/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/5fn2-n363/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,graduation outcome,school,apm,ethnicity,lifelong learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,Latest available data and trends in the state assessment results of English Language Arts for grades 3 through 8. Data are disaggregated by school and student gender.,text/csv,,yuzm-c784,2013-03-19,English Language Arts (ELA) Test Results 2006-2012 - School - Gender,https://data.cityofnewyork.us/resource/yuzm-c784,https://data.cityofnewyork.us/api/views/yuzm-c784/rows.csv?accessType=DOWNLOAD,2013-02-20,https://data.cityofnewyork.us/api/views/yuzm-c784/rows.rss,"english language arts,ela test,grade,school,lifelong learning",2013-02-20,Education,https://data.cityofnewyork.us/api/views/yuzm-c784/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/yuzm-c784/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/yuzm-c784/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/yuzm-c784/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/yuzm-c784/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/yuzm-c784/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,english language arts,ela test,grade,school,lifelong learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,"Facilities in New York City, by agency and site, that offer “Beacon Satellite at NYCHA Programs” after-school  programs.
Update Schedule: Annually",text/csv,,pyif-r8qe,2013-03-19,DYCD after-school programs: Beacon Satellite At NYCHA Programs,https://data.cityofnewyork.us/resource/pyif-r8qe,https://data.cityofnewyork.us/api/views/pyif-r8qe/rows.csv?accessType=DOWNLOAD,2011-09-01,https://data.cityofnewyork.us/api/views/pyif-r8qe/rows.rss,"jobs and economic mobility,education,services,youth,community,development,school,child,children,nycha,new york city housing authority,beacon satellite,beacon,lifelong learning",2011-09-01,Education,https://data.cityofnewyork.us/api/views/pyif-r8qe/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/pyif-r8qe/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/pyif-r8qe/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/pyif-r8qe/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/pyif-r8qe/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/pyif-r8qe/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,jobs and economic mobility,education,services,youth,community,development,school,child,children,nycha,new york city housing authority,beacon satellite,beacon,lifelong learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,Latest available data and trends in the state assessment results of English Language Arts for grades 3 through 8. Data are disaggregated by school.,text/csv,,wrhz-w8mn,2013-03-19,English Language Arts (ELA) Test Results 2006-2012 - School - All Students,https://data.cityofnewyork.us/resource/wrhz-w8mn,https://data.cityofnewyork.us/api/views/wrhz-w8mn/rows.csv?accessType=DOWNLOAD,2013-02-20,https://data.cityofnewyork.us/api/views/wrhz-w8mn/rows.rss,"english language arts,ela test,grade,school,lifelong learning",2013-02-20,Education,https://data.cityofnewyork.us/api/views/wrhz-w8mn/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/wrhz-w8mn/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/wrhz-w8mn/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/wrhz-w8mn/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/wrhz-w8mn/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/wrhz-w8mn/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,english language arts,ela test,grade,school,lifelong learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,Latest available data and trends in the state assessment results of math for grades 3 through 8. Data are disaggregated by ELL status,text/csv,,ngbi-cq85,2013-03-19,Math Test Results 2006-2012 - Citywide - ELL,https://data.cityofnewyork.us/resource/ngbi-cq85,https://data.cityofnewyork.us/api/views/ngbi-cq85/rows.csv?accessType=DOWNLOAD,2013-02-20,https://data.cityofnewyork.us/api/views/ngbi-cq85/rows.rss,"math test result,grade,citywide,ell,lifelong learning",2013-02-20,Education,https://data.cityofnewyork.us/api/views/ngbi-cq85/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/ngbi-cq85/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/ngbi-cq85/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/ngbi-cq85/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/ngbi-cq85/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/ngbi-cq85/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,math test result,grade,citywide,ell,lifelong learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,The most recent school level results for New York City on AP exams. Results are available at the school level for the 2012 school year. Records contain AP Test Taking and Passing Rates.,text/csv,,9ct9-prf9,2013-03-19,AP Results,https://data.cityofnewyork.us/resource/9ct9-prf9,https://data.cityofnewyork.us/api/views/9ct9-prf9/rows.csv?accessType=DOWNLOAD,2013-02-20,https://data.cityofnewyork.us/api/views/9ct9-prf9/rows.rss,"ap result,nyc,lifelong learning",2013-02-20,Education,https://data.cityofnewyork.us/api/views/9ct9-prf9/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/9ct9-prf9/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/9ct9-prf9/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/9ct9-prf9/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/9ct9-prf9/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/9ct9-prf9/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,ap result,nyc,lifelong learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,"Progress Reports grade each school with an A, B, C, D, or F.  These reports focus on a school's learning environment, student performance, and student progress.  They were designed to help parents, teachers, principals, and others understand how well schools are doing—and compare them to other, similar schools.",text/csv,,weg5-33pj,2013-03-19,School Progress Report 2006-2007,https://data.cityofnewyork.us/resource/weg5-33pj,https://data.cityofnewyork.us/api/views/weg5-33pj/rows.csv?accessType=DOWNLOAD,2013-02-20,https://data.cityofnewyork.us/api/views/weg5-33pj/rows.rss,"school progress report,report card,lifelong learning",2013-02-20,Education,https://data.cityofnewyork.us/api/views/weg5-33pj/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/weg5-33pj/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/weg5-33pj/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/weg5-33pj/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/weg5-33pj/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/weg5-33pj/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,school progress report,report card,lifelong learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,"Progress Reports grade each school with an A, B, C, D, or F.  These reports focus on a school's learning environment, student performance, and student progress.  They were designed to help parents, teachers, principals, and others understand how well schools are doing—and compare them to other, similar schools.",text/csv,,4n2j-ut8i,2013-03-19,School Progress Report 2009-2010,https://data.cityofnewyork.us/resource/4n2j-ut8i,https://data.cityofnewyork.us/api/views/4n2j-ut8i/rows.csv?accessType=DOWNLOAD,2013-02-20,https://data.cityofnewyork.us/api/views/4n2j-ut8i/rows.rss,"school progress report,report card,lifelong learning",2013-02-20,Education,https://data.cityofnewyork.us/api/views/4n2j-ut8i/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/4n2j-ut8i/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/4n2j-ut8i/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/4n2j-ut8i/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/4n2j-ut8i/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/4n2j-ut8i/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,school progress report,report card,lifelong learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,Latest available data and trends in the state assessment results of English Language Arts for grades 3 through 8. Data are disaggregated by district and disability status.,text/csv,,rq2f-42ua,2013-03-19,English Language Arts (ELA) Test Results 2006-2012 - District - SWD,https://data.cityofnewyork.us/resource/rq2f-42ua,https://data.cityofnewyork.us/api/views/rq2f-42ua/rows.csv?accessType=DOWNLOAD,2013-02-20,https://data.cityofnewyork.us/api/views/rq2f-42ua/rows.rss,"english language arts,ela test,grade,district,lifelong learning",2013-02-20,Education,https://data.cityofnewyork.us/api/views/rq2f-42ua/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/rq2f-42ua/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/rq2f-42ua/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/rq2f-42ua/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/rq2f-42ua/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/rq2f-42ua/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,english language arts,ela test,grade,district,lifelong learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,Directory of Workforce 1 career center locations that offer job finding services.,text/csv,,bnnh-zzg6,2013-03-19,Workforce 1 Career Center Locations,https://data.cityofnewyork.us/resource/bnnh-zzg6,https://data.cityofnewyork.us/api/views/bnnh-zzg6/rows.csv?accessType=DOWNLOAD,2013-03-19,https://data.cityofnewyork.us/api/views/bnnh-zzg6/rows.rss,"workforce 1 career center locations,small business services,directory,jobs and economic mobility",2013-03-19,Social Services,https://data.cityofnewyork.us/api/views/bnnh-zzg6/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/bnnh-zzg6/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/bnnh-zzg6/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/bnnh-zzg6/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/bnnh-zzg6/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/bnnh-zzg6/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,workforce 1 career center locations,small business services,directory,jobs and economic mobility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,Latest available data and trends in graduation and dropout outcomes by school.,text/csv,,cma4-zi8m,2013-09-12,Graduation Outcomes - School Level - Classes of 2005-2011 - Total Cohort,https://data.cityofnewyork.us/resource/cma4-zi8m,https://data.cityofnewyork.us/api/views/cma4-zi8m/rows.csv?accessType=DOWNLOAD,2013-02-20,https://data.cityofnewyork.us/api/views/cma4-zi8m/rows.rss,"graduation outcome,school,total cohort,lifelong learning",2013-02-20,Education,https://data.cityofnewyork.us/api/views/cma4-zi8m/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/cma4-zi8m/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/cma4-zi8m/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/cma4-zi8m/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/cma4-zi8m/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/cma4-zi8m/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,graduation outcome,school,total cohort,lifelong learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,Latest available data and trends in graduation and dropout outcomes disaggregated by borough and ELL status.,text/csv,,qs5h-jhhg,2013-03-19,Graduation Outcomes - Borough - Classes of 2005-2011 - ELL,https://data.cityofnewyork.us/resource/qs5h-jhhg,https://data.cityofnewyork.us/api/views/qs5h-jhhg/rows.csv?accessType=DOWNLOAD,2013-02-20,https://data.cityofnewyork.us/api/views/qs5h-jhhg/rows.rss,"graduation outcome,school,borough,ell,lifelong learning",2013-02-20,Education,https://data.cityofnewyork.us/api/views/qs5h-jhhg/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/qs5h-jhhg/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/qs5h-jhhg/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/qs5h-jhhg/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/qs5h-jhhg/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/qs5h-jhhg/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,graduation outcome,school,borough,ell,lifelong learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,Latest available data and trends in the state assessment results of math for grades 3 through 8. Data are disaggregated by school and ethnicity.,text/csv,,3tfu-x2qk,2013-03-19,Math Test Results 2006-2012 - School - Ethnicity,https://data.cityofnewyork.us/resource/3tfu-x2qk,https://data.cityofnewyork.us/api/views/3tfu-x2qk/rows.csv?accessType=DOWNLOAD,2013-02-20,https://data.cityofnewyork.us/api/views/3tfu-x2qk/rows.rss,"math test result,grade,school,ethnicity,lifelong learning",2013-02-20,Education,https://data.cityofnewyork.us/api/views/3tfu-x2qk/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/3tfu-x2qk/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/3tfu-x2qk/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/3tfu-x2qk/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/3tfu-x2qk/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/3tfu-x2qk/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,math test result,grade,school,ethnicity,lifelong learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,Latest available data and trends in graduation and dropout outcomes.,text/csv,,ubv8-6n5w,2013-03-19,Graduation Outcomes - Citywide - Classes of 2005-2011 - Total Cohort,https://data.cityofnewyork.us/resource/ubv8-6n5w,https://data.cityofnewyork.us/api/views/ubv8-6n5w/rows.csv?accessType=DOWNLOAD,2013-02-20,https://data.cityofnewyork.us/api/views/ubv8-6n5w/rows.rss,"graduation outcome,school,citywide,total cohort,lifelong learning",2013-02-20,Education,https://data.cityofnewyork.us/api/views/ubv8-6n5w/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/ubv8-6n5w/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/ubv8-6n5w/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/ubv8-6n5w/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/ubv8-6n5w/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/ubv8-6n5w/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,graduation outcome,school,citywide,total cohort,lifelong learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
